hardness_gpa,normal_load_n,sliding_velocity_m_s,sliding_distance_m,film_thickness_nm,cof
27.2,10,0.2,1000,1100,0.121
27.2,5,0.2,1000,1100,0.11
27.2,10,0.2,1000,1100,0.115
27.2,5,0.2,1000,1100,0.12
22.4,10,0.2,1000,1100,0.085
22.4,5,0.2,1000,1100,0.131
22.4,10,0.2,1000,1100,0.111
22.4,5,0.2,1000,1100,0.121
18.87,3,0.062832,113.097,1330,0.128
18.68,3,0.062832,113.097,1620,0.134
18.75,3,0.062832,113.097,1340,0.132
18.59,3,0.062832,113.097,1810,0.136
18.59,3,0.062832,113.097,1640,0.137
17.65,3,0.062832,113.097,1950,0.145
16.95,3,0.062832,113.097,2890,0.147
17.45,3,0.062832,113.097,1980,0.143
28.14,0.49,0.1,60,100,0.1
28.14,0.98,0.1,60,100,0.06
28.14,2.94,0.1,60,100,0.052
22.95,2.94,0.1,60,800,0.089
20.99,2.94,0.1,60,2300,0.103
22,5,0.2,1000,2500,0.13
22,5,0.2,1000,2500,0.13
22,5,0.2,1000,2500,0.12
22,5,0.2,1000,2500,0.13
22,5,0.2,1000,2500,0.13
22,5,0.2,1000,2500,0.12
22,5,0.2,1000,2500,0.13
22,5,0.2,1000,2500,0.13
22,5,0.2,1000,2500,0.13
22,5,0.2,1000,2500,0.14
23,5,0.2,1000,2500,0.13
23,5,0.2,1000,2500,0.09
23,5,0.2,1000,2500,0.12
23,5,0.2,1000,2500,0.13
23,5,0.2,1000,2500,0.13
23,5,0.2,1000,2500,0.14
23,5,0.2,1000,2500,0.13
23,5,0.2,1000,2500,0.13
23,5,0.2,1000,2500,0.14
19.7,3.5,0.1,120,1500,0.1
30.5,3.5,0.1,120,1130,0.12
25,1,0.0628,18.84,225,0.22
17.5,1,0.0628,18.84,142,0.02
14,1,0.0628,18.84,198,0.53
18.9,2,0.02,160,1378,0.095
18.9,2,0.04,160,1378,0.105
18.9,2,0.08,160,1378,0.115
18.9,5,0.02,160,1378,0.085
18.9,5,0.04,160,1378,0.07
18.9,5,0.08,160,1378,0.1
18.9,10,0.02,160,1378,0.055
18.9,10,0.04,160,1378,0.058
18.9,10,0.08,160,1378,0.04
16,4,0.0754,500,2400,0.097
18,4,0.0754,500,2400,0.094
54,5,0.157,250,353,0.069
49,5,0.157,250,349,0.083
41,5,0.157,250,362,0.099
45,5,0.157,250,370,0.077
54,5,0.157,150,353,0.037
49,5,0.157,150,349,0.052
41,5,0.157,150,362,0.099
45,5,0.157,150,370,0.048
28.15,5,0.1,100,695,0.17
28.15,5,0.1,100,695,0.48
28.15,5,0.1,100,695,0.68
28.15,5,0.1,100,695,0.6
21.96,5,0.1,100,817,0.24
21.96,5,0.1,100,817,0.04
21.96,5,0.1,100,817,0.05
21.96,5,0.1,100,817,0.13
18,20,0.034,367.2,1100,0.1
18,20,0.034,367.2,1100,0.12
18,20,0.034,367.2,1100,0.17
18,20,0.034,367.2,1100,0.1
18,20,0.034,367.2,1100,0.09
18,20,0.034,367.2,1100,0.1
20,10,0.11,7000,1300,0.19
20,10,0.11,8000,1300,0.06
50,2,0.0035,20,653,0.08
16.8,2,0.0035,20,1372,0.13
22.8,2,0.0035,20,1368.5,0.06
30.7,2,0.0035,20,800,0.12
16,2,0.0035,20,900,0.12
40.4,20,0.0503,452.7,2000,0.103
32.8,20,0.0503,452.7,2000,0.15
21.6,20,0.0503,452.7,2000,0.174
72.7,20,0.0503,452.7,2000,0.086
47,20,0.0503,452.7,2000,0.122
38.1,20,0.0503,452.7,2000,0.229
40.4,20,0.0503,452.7,2000,0.097
32.8,20,0.0503,452.7,2000,0.089
21.6,20,0.0503,452.7,2000,0.177
72.7,20,0.0503,452.7,2000,0.067
47,20,0.0503,452.7,2000,0.065
38.1,20,0.0503,452.7,2000,0.15
40.4,20,0.0503,452.7,2000,0.105
32.8,20,0.0503,452.7,2000,0.069
21.6,20,0.0503,452.7,2000,0.067
72.7,20,0.0503,452.7,2000,0.077
47,20,0.0503,452.7,2000,0.079
38.1,20,0.0503,452.7,2000,0.061
43.2,2,0.0035,23,1100,0.11
43.2,2,0.0035,23,1100,0.13
43.2,2,0.0035,23,1100,0.08
43.2,2,0.0035,23,1100,0.11
43.2,2,0.0035,23,1100,0.16
43.2,2,0.0035,23,1100,0.21
43.2,2,0.0035,23,1100,0.12
43.2,2,0.0035,23,1100,0.13
43.2,2,0.0035,23,1100,0.14
43.2,2,0.0035,23,1100,0.11
43.2,2,0.0035,23,1100,0.15
43.2,2,0.0035,23,1100,0.47
43.2,2,0.0035,23,1100,0.55
43.2,2,0.0035,23,1100,0.15
43.2,2,0.0035,23,1100,0.19
43.2,2,0.0035,23,1100,0.55
43.2,2,0.0035,23,1100,0.55
43.2,2,0.0035,23,1100,0.58
53.7,2,0.0035,23,1300,0.1
53.7,2,0.0035,23,1300,0.13
53.7,2,0.0035,23,1300,0.08
53.7,2,0.0035,23,1300,0.09
53.7,2,0.0035,23,1300,0.09
53.7,2,0.0035,23,1300,0.11
53.7,2,0.0035,23,1300,0.12
53.7,2,0.0035,23,1300,0.2
53.7,2,0.0035,23,1300,0.27
53.7,2,0.0035,23,1300,0.16
53.7,2,0.0035,23,1300,0.22
53.7,2,0.0035,23,1300,0.29
53.7,2,0.0035,23,1300,0.25
53.7,2,0.0035,23,1300,0.42
53.7,2,0.0035,23,1300,0.45
53.7,2,0.0035,23,1300,0.6
